date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
2/12/2021,EBAY,27,16,16,236684,
2/12/2021,ES,615,1390,9133,2456368,
2/12/2021,F,433,1153,4783,4804008,
2/12/2021,FCX,39,3551,4213,44031,
2/12/2021,GOOG,226,1364,6729,1024875,
2/12/2021,GOOGL,396,10748,51435,2659567,
2/12/2021,GS,142,217,1093,1341553,
2/12/2021,JPM,143,273,645,825501,
2/12/2021,K,23,2,5,71326,
2/12/2021,KEY,139,186,1151,651244,
2/12/2021,L,27,2,5,73076,
2/12/2021,LUV,33,107,156,158172,
2/12/2021,MA,25,399,2341,231433,
2/12/2021,META,873,4985,35787,6356303,
2/12/2021,MNST,21,50,135,217881,
2/12/2021,MSFT,518,2140,9002,4208570,
2/12/2021,MU,111,69,603,604413,
2/12/2021,NFLX,278,13001,55641,1970756,
2/12/2021,NVDA,945,4350,25739,12119329,
2/12/2021,OXY,48,30,98,68080,
2/12/2021,PFE,548,891,4205,6108394,
2/12/2021,T,191,172,540,755944,
2/12/2021,TSLA,7163,237126,2263733,24803503,
2/12/2021,V,220,596,4024,1962021,
3/12/2021,AAL,148,61,243,1319904,
3/12/2021,AAPL,2086,7903,45896,12543961,
3/12/2021,AMD,589,5060,23385,4424543,
3/12/2021,AMZN,1013,9775,49248,7716982,
3/12/2021,ATVI,23,97,2127,209780,
3/12/2021,BA,338,11442,14808,1611451,
3/12/2021,CRM,120,103,579,755544,
3/12/2021,DAL,432,18347,32861,2162977,
3/12/2021,DIS,370,670,7194,2378849,
3/12/2021,ES,634,688,5511,3018505,
3/12/2021,F,470,692,4250,5419774,
3/12/2021,GOOG,233,227,879,1458044,
3/12/2021,GOOGL,343,4161,21117,1529850,
3/12/2021,GS,160,228,893,760983,
3/12/2021,JPM,186,854,4978,1704147,
3/12/2021,KEY,36,661,5010,78299,
3/12/2021,MA,38,635,3598,211000,
3/12/2021,META,1012,4915,31954,7408763,
3/12/2021,MSFT,881,4526,18831,5451519,
3/12/2021,MU,75,96,671,473900,
3/12/2021,NFLX,195,917,2526,1570979,
3/12/2021,NKE,27,243,1444,101877,
3/12/2021,NVDA,1078,3148,19613,9134575,
3/12/2021,OXY,22,91,243,83938,
3/12/2021,PFE,592,2412,9892,4538648,
3/12/2021,STZ,143,1031,1523,402447,
3/12/2021,T,145,154,516,983546,
3/12/2021,TSLA,7929,165155,1649550,31294163,
3/12/2021,V,120,265,1632,655843,
4/12/2021,AAPL,729,6570,32935,4203678,
4/12/2021,ABT,23,5,12,42586,
4/12/2021,AMD,233,659,3885,2130405,
4/12/2021,AMZN,268,1747,9126,955771,
4/12/2021,BA,58,2500,2952,88814,
4/12/2021,CRM,24,26,110,71115,
4/12/2021,DAL,25,1041,1978,27276,
4/12/2021,DIS,187,2762,13096,794355,
4/12/2021,ES,41,52,358,166891,
4/12/2021,F,71,246,1168,276051,
4/12/2021,GOOG,54,49,134,300946,
4/12/2021,GOOGL,219,3380,12634,1274998,
4/12/2021,JPM,50,69,116,418887,
4/12/2021,KEY,50,59,427,242820,
4/12/2021,META,340,2761,17064,2213269,
4/12/2021,MSFT,225,2010,10184,1336612,
4/12/2021,NFLX,96,2908,12519,1182578,
4/12/2021,NVDA,279,526,3883,1489032,
4/12/2021,OXY,22,223,274,32364,
4/12/2021,PFE,166,476,1639,1991049,
4/12/2021,STZ,24,384,519,13754,
4/12/2021,T,35,53,250,32661,
4/12/2021,TSLA,5875,147764,1566912,14302775,
5/12/2021,AAL,22,19,83,12713,
5/12/2021,AAPL,914,7492,42942,5654231,
5/12/2021,AMD,252,2645,13645,1910775,
5/12/2021,AMZN,351,4353,23358,3875272,
5/12/2021,BA,167,15377,18884,482078,
5/12/2021,DIS,83,317,1713,618660,
5/12/2021,ES,51,352,1247,108747,
5/12/2021,F,64,55,520,159408,
5/12/2021,GOOG,30,43,102,113736,
5/12/2021,GOOGL,187,753,3147,1031667,
5/12/2021,GS,25,57,170,52994,
5/12/2021,META,305,1497,7875,3370770,
5/12/2021,MSFT,279,1556,6668,979743,
5/12/2021,MU,29,46,490,205026,
5/12/2021,NFLX,82,1334,7061,318431,
5/12/2021,NVDA,441,29007,165983,3081345,
5/12/2021,OXY,29,2390,1103,255103,
5/12/2021,PFE,190,1115,7623,1720667,
5/12/2021,T,26,24,73,209225,
5/12/2021,TSLA,5505,274978,1623990,11276058,
5/12/2021,V,70,832,7507,162638,
6/12/2021,AAPL,362,4502,28363,2185933,
6/12/2021,ABBV,31,610,3589,53780,
6/12/2021,AMD,109,901,4219,810846,
6/12/2021,AMZN,167,1694,9391,1858241,
6/12/2021,BA,116,6679,9665,300156,
6/12/2021,DIS,71,287,2713,329678,
6/12/2021,ES,134,365,2176,290836,
6/12/2021,F,54,201,1956,534671,
6/12/2021,GOOGL,70,1333,7026,649885,
6/12/2021,META,192,1121,6019,1070306,
6/12/2021,MSFT,170,714,4282,938423,
6/12/2021,NFLX,25,1042,4962,173325,
6/12/2021,NVDA,211,4107,25252,1368510,
6/12/2021,PFE,259,1751,12914,3492190,
6/12/2021,TSLA,2953,232752,1756058,9822282,
10/12/2021,AAL,45,6,9,316957,
10/12/2021,AAPL,2094,8126,47916,12210463,
10/12/2021,ABT,35,83,329,396731,
10/12/2021,AMD,96,114,630,2260461,
10/12/2021,AMZN,265,955,4688,2813898,
10/12/2021,BA,48,16770,17051,76616,
10/12/2021,C,50,31,83,461284,
10/12/2021,DIS,55,682,1662,194680,
10/12/2021,ES,126,118,976,495830,
10/12/2021,F,925,295,2039,10446513,
10/12/2021,GOOG,83,100,907,769421,
10/12/2021,GOOGL,70,1581,6980,8621889,
10/12/2021,LUV,28,25,71,512875,
10/12/2021,MA,41,2255,2264,69696,
10/12/2021,META,75,37,125,5026531,
10/12/2021,MSFT,402,593,4027,3522254,
10/12/2021,NFLX,47,97,303,321089,
10/12/2021,NVDA,156,235,1327,1758316,
10/12/2021,PFE,72,323,1310,707880,
10/12/2021,TSLA,1177,21424,160460,13643294,
11/12/2021,AAPL,2669,49642,394000,10427348,
11/12/2021,AMD,178,1036,7185,1448890,
11/12/2021,AMZN,411,2462,18304,1692487,
11/12/2021,CRM,22,128,1110,223256,
11/12/2021,DIS,22,27,181,42543,
